id,filename,class,nn1
50,VALID_5527_b_131897861172029085L,b,test
51,TRAIN_4152_f_131897846570712050L,f,train
52,TRAIN_5659_f_131897868515580686L,f,train
53,VALID_1040_p_131897801933063071L,p,test
54,VALID_824_b_131897798911051272L,b,test
55,TRAIN_2565_f_131897815401696129L,f,train
56,TEST_554_p_131897795205885872L,p,valid
57,TRAIN_388_p_131897782491703030L,p,train
58,TRAIN_1054_a_131897792348671164L,a,train
59,VALID_5090_p_131897860242404523L,p,test
60,VALID_1138_f_131897803333595279L,f,test
61,VALID_1457_p_131897798535237360L,p,test
62,TRAIN_2837_b_131897819580542821L,b,train
63,VALID_598_a_131897785649148615L,a,test
64,TRAIN_3262_p_131897826023999171L,p,train
65,TRAIN_4784_b_131897855760486845L,b,train
66,TRAIN_4988_f_131897858751708207L,f,train
67,TRAIN_719_b_131897797458327174L,b,train
68,VALID_4138_a_131897846364452915L,a,test
69,TRAIN_6_p_131897787899295729L,p,train
70,TRAIN_3618_a_131897831484003321L,a,train
71,TRAIN_565_f_131897795358704525L,f,train
72,TRAIN_5610_f_131897867814926092L,f,train
73,VALID_4964_f_131897852410910042L,f,test
74,TRAIN_2562_b_131897815349631639L,b,train
75,TRAIN_2065_p_131897807785052818L,p,train
76,VALID_2739_a_131897826270127692L,a,test
77,TRAIN_5244_f_131897856794570696L,f,train
78,TRAIN_3951_f_131897836676809727L,f,train
79,TRAIN_4253_a_131897848047336115L,a,train
80,TRAIN_19_a_131897777217555677L,a,train
81,VALID_75_a_131897777960511066L,a,test
82,TRAIN_5188_b_131897861657932004L,b,train
83,TRAIN_2003_a_131897815630867098L,a,train
84,TRAIN_4822_b_131897856319262629L,b,train
85,TRAIN_1204_p_131897794552061079L,p,train
86,TRAIN_95_b_131897778228212726L,b,train
87,VALID_4606_p_131897846879132994L,p,test
88,TEST_3468_b_131897836692691736L,b,valid
89,TRAIN_2705_b_131897825789168011L,b,train
90,TRAIN_3950_f_131897836663382644L,f,train
91,TRAIN_646_b_131897796461408133L,b,train
92,TRAIN_276_a_131897780854351873L,a,train
93,TEST_3409_f_131897828252752398L,f,valid
94,TRAIN_2264_p_131897819408224052L,p,train
95,TRAIN_976_f_131897801028959852L,f,train
96,VALID_5420_f_131897859508856056L,f,test
97,TRAIN_1422_a_131897807375339349L,a,train
98,TEST_3699_a_131897840052526111L,a,valid
99,VALID_2262_b_131897810775552473L,b,test
100,TRAIN_4720_p_131897848678206186L,p,train
101,TEST_4542_b_131897852245019167L,b,valid
102,TRAIN_2747_a_131897818185122842L,a,train
103,TRAIN_2197_a_131897809795972156L,a,train
104,TRAIN_5532_b_131897861248933567L,b,train
105,TRAIN_2848_a_131897827818173209L,a,train
106,VALID_2347_p_131897812075098431L,p,test
107,VALID_4043_p_131897838122724847L,p,test
108,TRAIN_5675_b_131897868736994941L,b,train
109,TRAIN_1955_f_131897806153999734L,f,train
110,VALID_5654_a_131897868445422334L,a,test
111,TRAIN_5332_b_131897863829749636L,b,train
112,TRAIN_2112_a_131897808505303860L,a,train
113,VALID_5371_f_131897858775181907L,f,test
114,TRAIN_4010_f_131897844511714485L,f,train
115,TRAIN_3633_a_131897839088731935L,a,train
116,TRAIN_1559_a_131897809385901567L,a,train
117,TRAIN_2120_b_131897817292505540L,b,train
118,VALID_4421_a_131897850481192831L,a,test
119,TRAIN_410_a_131897793260486405L,a,train
120,VALID_3127_p_131897823981235383L,p,test
121,TRAIN_1291_a_131897805481506188L,a,train
122,TRAIN_196_b_131897779673068089L,b,train
123,TEST_2284_p_131897811114042614L,p,valid
124,TRAIN_684_b_131897796986589883L,b,train
125,TRAIN_3080_f_131897823278634406L,f,train
126,TRAIN_205_f_131897779805371430L,f,train
127,TRAIN_3696_f_131897840011273781L,f,train
128,TRAIN_1377_a_131897797296274779L,a,train
129,VALID_4609_f_131897853203656602L,f,test
130,TRAIN_874_f_131897789717182139L,f,train
131,VALID_273_p_131897780811414262L,p,test
132,VALID_4938_a_131897852026812671L,a,test
133,TRAIN_2331_f_131897811827418051L,f,train
134,TRAIN_647_b_131897796478908020L,b,train
135,TRAIN_529_b_131897784630175456L,b,train
136,TRAIN_4139_f_131897846378516993L,f,train
137,TRAIN_5350_f_131897858466007145L,f,train
138,VALID_795_f_131897798506501504L,f,test
139,TRAIN_667_f_131897786661209789L,f,train
140,TRAIN_1019_a_131897791822590293L,a,train
141,TRAIN_1495_p_131897808453045144L,p,train
142,TEST_2771_b_131897818570127689L,b,valid
143,TRAIN_4640_a_131897853647428163L,a,train
144,TRAIN_677_b_131897796895492011L,b,train
145,TEST_4004_a_131897837499994985L,a,valid
146,VALID_2995_a_131897821947352660L,a,test
147,VALID_4740_a_131897848983612768L,a,test
148,TRAIN_5266_b_131897857128240994L,b,train
149,TRAIN_2469_p_131897822390076096L,p,train
150,TRAIN_2759_b_131897826551548988L,b,train
151,TRAIN_516_p_131897794696175705L,p,train
152,VALID_5631_a_131897868120096972L,a,test
153,TRAIN_3460_b_131897829036396956L,b,train
154,VALID_4244_a_131897847922799456L,a,test
155,VALID_3827_a_131897834715244183L,a,test
156,VALID_2487_a_131897814233397461L,a,test
157,TRAIN_540_b_131897784812236129L,b,train
158,TRAIN_501_p_131897784228180726L,p,train
159,TRAIN_1234_a_131897804674437736L,a,train
160,VALID_2753_f_131897826454826360L,f,test
161,TEST_5448_f_131897865501070810L,f,valid
162,TRAIN_1846_p_131897813430302970L,p,train
163,TRAIN_1047_f_131897792250380179L,f,train
164,VALID_5363_f_131897858657962418L,f,test
165,TRAIN_2348_p_131897812090026493L,p,train
166,VALID_3640_f_131897831834979323L,f,test
167,VALID_4610_a_131897853218814158L,a,test
168,VALID_4926_p_131897851843522528L,p,test
169,VALID_536_f_131897784749357084L,f,test
170,TRAIN_826_f_131897789026885902L,f,train
171,TRAIN_2434_b_131897821895834719L,b,train
172,TRAIN_4384_p_131897843421682726L,p,train
173,TRAIN_2480_b_131897822549927917L,b,train
174,TRAIN_4308_b_131897848843149708L,b,train
175,TRAIN_3861_a_131897835268422301L,a,train
176,TRAIN_1315_p_131897805832146621L,p,train
177,TRAIN_2599_b_131897824251430282L,b,train
178,TRAIN_1703_p_131897802266868457L,p,train
179,VALID_5806_f_131897865438568073L,f,test
180,TRAIN_232_p_131897790842720058L,p,train
181,TRAIN_4220_a_131897847572627787L,a,train
182,TRAIN_1250_p_131897804907415685L,p,train
183,TEST_1213_b_131897804385674939L,b,valid
184,TRAIN_2280_a_131897819655891953L,a,train
185,TRAIN_649_a_131897786388971097L,a,train
186,VALID_2349_p_131897812103587498L,p,test
187,TRAIN_4529_b_131897852054696989L,b,train
188,TRAIN_5066_b_131897859888952277L,b,train
189,TRAIN_730_a_131897787584830092L,a,train
190,VALID_5270_a_131897862926113496L,a,test
191,TRAIN_4687_p_131897854341522385L,p,train
192,TRAIN_4444_p_131897850804176051L,p,train
193,VALID_393_p_131897782571268470L,p,test
194,TRAIN_4874_a_131897851025677904L,a,train
195,TRAIN_3489_p_131897829499541754L,p,train
196,TEST_2751_b_131897826425293271L,b,valid
197,TRAIN_1691_f_131897802095815976L,f,train
198,VALID_3790_p_131897841395013459L,p,test
199,TRAIN_3295_a_131897826527000476L,a,train
200,TRAIN_2372_a_131897812463886187L,a,train
201,TRAIN_5144_p_131897861023530447L,p,train
202,TRAIN_4716_p_131897854753102490L,p,train
203,TRAIN_3879_a_131897835553120873L,a,train
204,VALID_2942_f_131897829181837715L,f,test
205,VALID_5057_p_131897853870481347L,p,test
206,TRAIN_1366_a_131897806569991885L,a,train
207,TRAIN_3000_f_131897822031584280L,f,train
208,TRAIN_4252_a_131897848032491405L,a,train
209,TRAIN_3076_p_131897831121781806L,p,train
210,TRAIN_4380_b_131897843358627710L,b,train
211,TRAIN_935_f_131897790619189646L,f,train
212,TRAIN_1672_a_131897810987848331L,a,train
213,TEST_2241_f_131897819075398534L,f,valid
214,TRAIN_5310_f_131897863518799248L,f,train
215,TRAIN_3072_f_131897831062248175L,f,train
216,TRAIN_399_f_131897782663399671L,f,train
217,VALID_4226_p_131897847658256713L,p,test
218,TRAIN_1084_a_131897792788277661L,a,train
219,TRAIN_866_a_131897789606728462L,a,train
220,VALID_1986_f_131897815397108301L,f,test
221,VALID_5355_b_131897858537419183L,b,test
222,VALID_428_p_131897783110217480L,p,test
223,TRAIN_450_b_131897783439347914L,b,train
224,TRAIN_5289_a_131897863206128897L,a,train
225,VALID_3927_p_131897836301272367L,p,test
226,VALID_3260_b_131897825996474533L,b,test
227,TRAIN_1806_p_131897812877465934L,p,train
228,TEST_5011_f_131897859095633812L,f,valid
229,TRAIN_711_b_131897787309819238L,b,train
230,TRAIN_4205_a_131897840665722041L,a,train
231,VALID_5068_p_131897854034103719L,p,test
232,TRAIN_2105_a_131897808396893519L,a,train
233,VALID_2344_b_131897820577336623L,b,test
234,TEST_3473_f_131897829250648931L,f,valid
235,TRAIN_3840_f_131897834933100450L,f,train
236,TRAIN_5582_a_131897867412875827L,a,train
237,TRAIN_3742_f_131897833396174222L,f,train
238,TRAIN_4893_p_131897857331025595L,p,train
239,VALID_748_a_131897787861419393L,a,test
240,TRAIN_3600_f_131897838615116017L,f,train
241,TRAIN_2327_p_131897811763734066L,p,train
242,TRAIN_4971_p_131897852528302516L,p,train
243,TRAIN_2811_b_131897827291272965L,b,train
244,VALID_2602_p_131897824307371864L,p,test
245,VALID_3923_a_131897836243478098L,a,test
246,VALID_2462_b_131897813826737683L,b,test
247,VALID_4130_f_131897839501483550L,f,test
248,TRAIN_855_f_131897789448673215L,f,train
249,TRAIN_888_p_131897789919348258L,p,train
250,TRAIN_2191_a_131897809707034586L,a,train
251,TRAIN_5769_p_131897864859410039L,p,train
252,TRAIN_4722_p_131897848710163487L,p,train
253,TRAIN_518_f_131897794723208097L,f,train
254,TRAIN_4443_f_131897850787457127L,f,train
255,VALID_2649_a_131897816681973894L,a,test
256,TRAIN_5219_p_131897856403259906L,p,train
257,TRAIN_5539_a_131897861361927928L,a,train
258,TRAIN_3989_f_131897837266587087L,f,train
259,VALID_29_p_131897788194933673L,p,test
260,VALID_2956_a_131897821348067096L,a,test
261,VALID_3149_a_131897824312406844L,a,test
262,TRAIN_4423_f_131897850506350644L,f,train
263,TRAIN_482_p_131897794231157995L,p,train
264,TRAIN_54_f_131897788513384576L,f,train
265,TRAIN_4557_f_131897846119172375L,f,train
266,VALID_3565_f_131897830677324697L,f,test
267,TRAIN_2718_a_131897817711546929L,a,train
268,TRAIN_1044_p_131897801991035434L,p,train
269,TEST_3054_f_131897822876168272L,f,valid
270,VALID_418_a_131897782954071392L,a,test
271,VALID_3535_f_131897830201814182L,f,test
272,TRAIN_2858_p_131897827973650612L,p,train
273,TRAIN_702_a_131897787177555105L,a,train
274,TRAIN_1815_a_131897803978468014L,a,train
275,TRAIN_1503_f_131897799248029362L,f,train
276,VALID_742_a_131897797761155032L,a,test
277,VALID_754_f_131897787957826837L,f,test
278,TRAIN_2809_b_131897819161574711L,b,train
279,VALID_3221_f_131897833203152827L,f,test
280,TRAIN_4035_p_131897844881262168L,p,train
281,TRAIN_3068_b_131897831006464349L,b,train
282,TRAIN_5468_a_131897860238686382L,a,train
283,TRAIN_1173_f_131897803823930347L,f,train
284,TEST_3906_f_131897843039306426L,f,valid
285,TEST_2066_b_131897816519033511L,b,valid
286,TRAIN_2872_b_131897820103809805L,b,train
287,TRAIN_123_a_131897789402485817L,a,train
288,TRAIN_5851_b_131897871299924479L,b,train
289,VALID_719_f_131897787417729651L,f,test
290,TRAIN_1780_b_131897803443881377L,b,train
291,TRAIN_2940_p_131897829153399402L,p,train
292,TRAIN_3069_p_131897823111454502L,p,train
293,VALID_4083_p_131897838751387803L,p,test
294,TRAIN_2487_b_131897822645401610L,b,train
295,VALID_451_b_131897783454387150L,b,test
296,TRAIN_768_a_131897788176139668L,a,train
297,TRAIN_1682_p_131897801966228150L,p,train
298,TRAIN_2494_p_131897814335472316L,p,train
299,VALID_828_p_131897798969022212L,p,test
300,TRAIN_4162_a_131897840004381979L,a,train
301,TRAIN_3439_p_131897836289705690L,p,train
302,VALID_4242_b_131897847890610360L,b,test
303,TRAIN_3179_b_131897824774642271L,b,train
304,TRAIN_5328_p_131897863774903064L,p,train
305,TRAIN_1084_b_131897802559965282L,b,train
306,TRAIN_481_p_131897783924910710L,p,train
307,VALID_461_b_131897783619976300L,b,test
308,TRAIN_4224_f_131897840959185895L,f,train
309,TRAIN_4226_p_131897840984835585L,p,train
310,TRAIN_4258_f_131897841491245885L,f,train
311,VALID_302_b_131897791780416598L,b,test
312,TEST_702_b_131897797228474370L,b,valid
313,TRAIN_3132_p_131897831915743683L,p,train
314,VALID_848_a_131897789343235436L,a,test
315,TRAIN_5635_f_131897868174161802L,f,train
316,VALID_1216_p_131897804433646213L,p,test
317,VALID_3160_p_131897824478279451L,p,test
318,TRAIN_628_f_131897796211240874L,f,train
319,TEST_2425_p_131897813268032263L,p,valid
320,TEST_560_f_131897795296827337L,f,valid
321,TRAIN_3985_a_131897837200193487L,a,train
322,TRAIN_1478_b_131897798861612716L,b,train
323,TRAIN_2688_p_131897817260112520L,p,train
324,TRAIN_4359_p_131897849582714002L,p,train
325,TRAIN_5472_a_131897865871400543L,a,train
326,VALID_5543_b_131897861427717605L,b,test
327,VALID_2448_b_131897813621249503L,b,test
328,VALID_3094_a_131897823483382115L,a,test
329,TRAIN_1618_b_131897801007098157L,b,train
330,TRAIN_4263_b_131897848194373588L,b,train
331,TRAIN_5442_f_131897865416378895L,f,train
332,TRAIN_4902_f_131897857470561975L,f,train
333,VALID_2955_f_131897821334363473L,f,test
334,TRAIN_2252_p_131897810629231195L,p,train
335,TRAIN_1202_a_131897804232701064L,a,train
336,VALID_2336_a_131897820469832233L,a,test
337,TRAIN_4015_a_131897844586874790L,a,train
338,TRAIN_3593_b_131897831105390684L,b,train
339,TRAIN_2050_a_131897807565041867L,a,train
340,VALID_851_p_131897789391279461L,p,test
341,VALID_2437_p_131897813446174930L,p,test
342,TEST_1676_p_131897811042539673L,p,valid
343,TEST_3836_f_131897834866740201L,f,valid
344,TRAIN_4323_a_131897842504283920L,a,train
345,VALID_1095_f_131897792944401481L,f,test
346,TRAIN_3201_b_131897825104539078L,b,train
347,TEST_293_f_131897781095869818L,f,valid
348,TRAIN_1367_f_131897806583118270L,f,train
349,VALID_708_a_131897797309728122L,a,test
350,TRAIN_2312_a_131897811541692548L,a,train
351,VALID_1718_p_131897811638816670L,p,test
352,TEST_3536_f_131897830215848286L,f,valid
353,TRAIN_3737_a_131897833324512084L,a,train
354,TRAIN_5767_b_131897870071430128L,b,train
355,TRAIN_1873_b_131897804875012313L,b,train
356,VALID_4959_p_131897852334902173L,p,test
357,TRAIN_1083_f_131897792776264655L,f,train
358,TRAIN_3378_a_131897827765713582L,a,train
359,VALID_470_f_131897783765497103L,f,test
360,VALID_5311_p_131897857853306999L,p,test
361,TRAIN_2678_f_131897817110110233L,f,train
362,VALID_1358_p_131897806457642276L,p,test
363,TRAIN_3535_f_131897837646636683L,f,train
364,TRAIN_5663_b_131897863240430657L,b,train
365,TRAIN_3338_f_131897834873861922L,f,train
366,TRAIN_1971_a_131897806387858351L,a,train
367,VALID_117_a_131897778532814179L,a,test
368,VALID_4626_p_131897853453199533L,p,test
369,TEST_315_a_131897781426257320L,a,valid
370,VALID_4364_b_131897843123033341L,b,test
371,TRAIN_2542_p_131897815038521106L,p,train
372,VALID_5427_f_131897865198402914L,f,test
373,TRAIN_2265_b_131897819420411834L,b,train
374,VALID_3357_f_131897835152624568L,f,test
375,TRAIN_3175_a_131897832540929308L,a,train
376,VALID_5784_a_131897870323316990L,a,test
377,VALID_4178_p_131897840259198450L,p,test
378,TRAIN_5854_f_131897871346800802L,f,train
379,VALID_709_b_131897797322073008L,b,test
380,VALID_2957_p_131897821361449587L,p,test
381,TRAIN_1373_f_131897797237874635L,f,train
382,TRAIN_2935_f_131897829086676925L,f,train
383,TRAIN_3533_b_131897837618978788L,b,train
384,TEST_3038_a_131897822607858550L,a,valid
385,TRAIN_762_p_131897798040541838L,p,train
386,VALID_3706_a_131897832832172058L,a,test
387,TRAIN_3508_f_131897829794014201L,f,train
388,VALID_905_p_131897790180823272L,p,test
389,VALID_290_f_131897791615096661L,f,test
390,TRAIN_2499_b_131897822812755701L,b,train
391,TRAIN_3151_p_131897832184975258L,p,train
392,TEST_2574_p_131897823888753400L,p,valid
393,TRAIN_2426_b_131897813283700044L,b,train
394,VALID_4358_a_131897843034309139L,a,test
395,TRAIN_3503_b_131897837181929184L,b,train
396,TEST_722_b_131897787459521837L,b,valid
397,TRAIN_2379_f_131897812569738439L,f,train
398,TRAIN_4077_f_131897838660913356L,f,train
399,TRAIN_1059_p_131897802208386940L,p,train
400,VALID_4740_p_131897855096709558L,p,test
401,VALID_3564_a_131897838046342140L,a,test
402,TRAIN_5879_f_131897871706662493L,f,train
403,TRAIN_34_f_131897788256342074L,f,train
404,TRAIN_618_a_131897796076078861L,a,train
405,VALID_450_f_131897793794262024L,f,test
406,TRAIN_5739_f_131897869677037398L,f,train
407,TRAIN_3090_p_131897831316483306L,p,train
408,TRAIN_610_b_131897785814233408L,b,train
409,TRAIN_3228_f_131897825521284265L,f,train
410,TRAIN_2033_f_131897816053699698L,f,train
411,TRAIN_704_f_131897797255194979L,f,train
412,VALID_5252_a_131897862643600588L,a,test
413,TRAIN_1448_b_131897807774421545L,b,train
414,TRAIN_5641_a_131897868255102357L,a,train
415,TRAIN_4932_p_131897851937214594L,p,train
416,VALID_4429_p_131897844143625670L,p,test
417,TEST_5406_f_131897864886200751L,f,valid
418,TEST_3366_f_131897835272630042L,f,valid
419,TRAIN_5526_f_131897861159520082L,f,train
420,TEST_439_f_131897783275346723L,f,valid
421,TRAIN_3330_a_131897827043606169L,a,train
422,VALID_2137_p_131897808872370939L,p,test
423,TRAIN_5685_p_131897868877471114L,p,train
424,VALID_3485_b_131897829438426813L,b,test
425,TRAIN_2440_p_131897813490979506L,p,train
426,TRAIN_40_f_131897777501367960L,f,train
427,VALID_116_b_131897789313576012L,b,test
428,TRAIN_5286_b_131897863165813165L,b,train
429,TRAIN_4880_a_131897851112885109L,a,train
430,VALID_5598_b_131897867638042923L,b,test
431,VALID_1720_f_131897811665224709L,f,test
432,TRAIN_1794_f_131897812708552109L,f,train
433,TRAIN_314_p_131897791942766929L,p,train
434,VALID_768_f_131897798125389208L,f,test
435,VALID_1521_b_131897808833532180L,b,test
436,TRAIN_2886_b_131897820323027703L,b,train
437,VALID_958_b_131897800783013150L,b,test
438,TEST_1810_b_131897812932937463L,b,valid
439,VALID_3060_p_131897822969395587L,p,test
440,TEST_4806_a_131897850004196231L,a,valid
441,VALID_1918_b_131897805561029446L,b,test
442,VALID_985_f_131897801149277559L,f,test
443,TRAIN_2613_p_131897824465349448L,p,train
444,TRAIN_4199_a_131897840580129820L,a,train
445,VALID_1612_f_131897800915630826L,f,test
446,TRAIN_3557_f_131897830558654175L,f,train
447,VALID_4858_b_131897856830377947L,b,test
448,TRAIN_5325_b_131897858078522622L,b,train
449,TRAIN_2551_a_131897815175156304L,a,train
450,VALID_4649_f_131897847565525997L,f,test
451,TRAIN_5357_p_131897858568257656L,p,train
452,TRAIN_3683_p_131897839830796618L,p,train
453,VALID_4801_f_131897849930422231L,f,test
454,TRAIN_5133_p_131897860856022394L,p,train
455,TRAIN_903_b_131897790150996439L,b,train
456,TRAIN_1861_a_131897804688130163L,a,train
457,VALID_1590_a_131897809835765245L,a,test
458,TRAIN_4364_f_131897849653498256L,f,train
459,TRAIN_5074_a_131897854127752310L,a,train
460,VALID_5530_a_131897861218724264L,a,test
461,TRAIN_3446_b_131897828819911543L,b,train
462,TRAIN_520_a_131897794750083352L,a,train
463,TRAIN_2159_a_131897817853624719L,a,train
464,TRAIN_5418_a_131897865071678884L,a,train
465,TRAIN_1488_p_131897799006898559L,p,train
466,TRAIN_327_b_131897792109025351L,b,train
467,TEST_2906_a_131897828657435402L,a,valid
468,TRAIN_2991_b_131897821888349714L,b,train
469,TRAIN_3106_b_131897831549935791L,b,train
470,TRAIN_3040_b_131897822642983139L,b,train
471,VALID_115_a_131897789300450919L,a,test
472,VALID_4273_b_131897848330942910L,b,test
473,TRAIN_3383_a_131897827852625946L,a,train
474,TRAIN_3459_a_131897829021371732L,a,train
475,VALID_326_a_131897781582129588L,a,test
476,VALID_4881_a_131897857148049574L,a,test
477,TRAIN_1090_p_131897792876072459L,p,train
478,TRAIN_998_a_131897791515005449L,a,train
479,TEST_3360_f_131897827492858911L,f,valid
480,VALID_1098_p_131897792990690545L,p,test
481,VALID_4596_b_131897853018024662L,b,test
482,TRAIN_2326_a_131897811746919332L,a,train
483,TRAIN_5636_p_131897868189631452L,p,train
484,VALID_646_a_131897786341914835L,a,test
485,TRAIN_5591_p_131897862156494219L,p,train
486,TRAIN_5556_f_131897867045984164L,f,train
487,TRAIN_2608_p_131897824399095096L,p,train
488,TRAIN_3289_p_131897834169141343L,p,train
489,TRAIN_2155_b_131897817788933163L,b,train
490,TRAIN_3845_p_131897835022838619L,p,train
491,TRAIN_1378_b_131897797310668768L,b,train
492,TRAIN_5327_f_131897863757403377L,f,train
493,TEST_3017_b_131897830271268971L,b,valid
494,TRAIN_2396_p_131897812828677587L,p,train
495,TRAIN_3437_p_131897836262516434L,p,train
496,TRAIN_5779_b_131897865020442964L,b,train
497,TRAIN_3729_b_131897840499577662L,b,train
498,TRAIN_2279_f_131897819643078969L,f,train
499,TRAIN_2439_a_131897813477210962L,a,train
500,TRAIN_5900_b_131897872002457389L,b,train
501,TRAIN_4961_p_131897858368413015L,p,train
502,TRAIN_3407_p_131897835856407397L,p,train
503,TRAIN_5349_f_131897858451400830L,f,train
504,TRAIN_1813_p_131897812982314313L,p,train
505,TRAIN_5675_b_131897863417848347L,b,train
506,TRAIN_3816_b_131897834535909803L,b,train
507,TRAIN_200_p_131897779737585279L,p,train
508,TRAIN_4632_p_131897847298063410L,p,train
509,TEST_822_b_131897798883706261L,b,valid
510,TRAIN_2304_a_131897811417625755L,a,train
511,TRAIN_2193_p_131897818360366226L,p,train
512,TRAIN_397_b_131897782626691615L,b,train
513,VALID_716_f_131897797418638381L,f,test
514,TRAIN_3327_a_131897826990076558L,a,train
515,TRAIN_1531_f_131897799671486465L,f,train
516,VALID_49_b_131897777621207701L,b,test
517,VALID_1890_a_131897805127564631L,a,test
518,TRAIN_1725_p_131897811737572252L,p,train
519,TRAIN_5802_b_131897865378526254L,b,train
520,TRAIN_94_a_131897789017625298L,a,train
521,TRAIN_2617_f_131897824519570175L,f,train
522,TRAIN_2388_f_131897821220490579L,f,train
523,TRAIN_480_b_131897794203344134L,b,train
524,TRAIN_2791_f_131897827015478719L,f,train
525,VALID_3281_p_131897826320165316L,p,test
526,VALID_3817_p_131897841772531539L,p,test
527,TRAIN_4935_p_131897851981394848L,p,train
528,TRAIN_3165_p_131897832390610457L,p,train
529,VALID_322_a_131897781522728223L,a,test
530,TRAIN_5770_a_131897870110963360L,a,train
531,TRAIN_3910_f_131897836033278555L,f,train
532,TRAIN_1709_b_131897802350846156L,b,train
533,TRAIN_3519_f_131897837402876368L,f,train
534,TRAIN_1190_p_131897804071129749L,p,train
535,TRAIN_1889_f_131897814033300186L,f,train
536,TRAIN_4153_b_131897839860346535L,b,train
537,TRAIN_4520_a_131897845537286877L,a,train
538,TRAIN_5887_a_131897871822293267L,a,train
539,TRAIN_2968_p_131897821535718838L,p,train
540,TRAIN_5264_a_131897857093617484L,a,train
541,TRAIN_4476_f_131897851272947148L,f,train
542,TRAIN_5518_b_131897866507678641L,b,train
543,TRAIN_4718_p_131897848647687275L,p,train
544,VALID_555_b_131897785029729567L,b,test
545,TRAIN_3135_f_131897831954495669L,f,train
546,TRAIN_3573_a_131897830798432726L,a,train
547,VALID_1052_a_131897792321262491L,a,test
548,TRAIN_5360_p_131897858616109932L,p,train
549,TRAIN_4726_p_131897854900451948L,p,train
550,TRAIN_230_p_131897780160869599L,p,train
551,TRAIN_4019_a_131897837743833357L,a,train
552,TRAIN_4611_f_131897853232720523L,f,train
553,VALID_5850_f_131897871285860766L,f,test
554,TEST_4146_b_131897839750824706L,b,valid
555,TRAIN_846_b_131897799213721557L,b,train
556,TRAIN_3635_f_131897839114358782L,f,train
557,VALID_3552_a_131897830475399012L,a,test
558,VALID_3188_f_131897832733282415L,f,test
559,TRAIN_3749_f_131897833492521720L,f,train
560,TRAIN_2305_b_131897811434877048L,b,train
561,VALID_71_f_131897777913433702L,f,test
562,VALID_2997_p_131897829991099648L,p,test
563,TRAIN_2498_f_131897822801034086L,f,train
564,TRAIN_1123_f_131897793356595035L,f,train
565,TEST_4608_b_131897853191468854L,b,valid
566,TRAIN_632_p_131897786135606895L,p,train
567,TRAIN_5033_b_131897859404398380L,b,train
568,VALID_4942_b_131897852082844780L,b,test
569,TEST_25_p_131897777300706667L,p,valid
570,TEST_2204_f_131897809908406048L,f,valid
571,TRAIN_5834_b_131897871048974238L,b,train
572,TEST_5878_b_131897871693224742L,b,valid
573,VALID_1132_f_131897803251560295L,f,test
574,TRAIN_1999_f_131897815579458728L,f,train
575,TRAIN_1988_a_131897815421171317L,a,train
576,TRAIN_5718_a_131897864070660428L,a,train
577,TRAIN_4408_a_131897850297903670L,a,train
